id,pavadinimas,data,adresas,komentaras
1,Ledo deimantas,2015,Karaliaus Mindaugo pr. 64     ,Nemuno krantine ties M. K. Ciurlionio tiltu.
2,Jis ir Ji,2016,A. Juozapaviciaus pr. 62     ,
3,Meno buitis,2014,Muitines g. 2      ,
4,Jaukesna Malgevra Redmajag,2016,A. Juozapaviciau pr. 25B.     ,
5,Laimingi vaikai – vaikai tarp musu,2015,V. Putvinskio g. 60     ,
6,Senelis išmincius,2013,Jonavos g. 3      ,
7,Kaunas be cukraus,2014,Savanoriu pr. 66,požemine pesciuju pereja.   
8,Jaunuolis,2015,Pilies g. 13/ A. Jakšto g. 5  ,
9,Rožinis dramblys,2014,E. Ožeškienes g. 18A.     ,
10,Kupidonas,2014,Savanoriu pr. 51      ,
11,Alyva vel žydes,2014,V. Putvinskio g. 56     ,
12,Kiemo galerija,2014-2016,E. Ožeškienes g. 21A.     ,
13,Paminklas rutinai,2014,Muitines g. 4      ,
14,Langai,2015,Veiveriu g. 50A.      ,
15,Šiuolaikines damos,2015,A. Mickeviciaus g. 37     ,
16,Palme,2016,Aušros g. 4      ,
17,Kvadratas,2015,Smalininku g. 7      ,
18,Sraige,2015,Karaliaus Mindaugo pr. 38     ,
19,Tekantis tunelis,2015,Muitines g. 4      ,požemine pesciuju pereja.
20,Kova,2016,Aušros takas 2      ,
21,Nebeprisikiškiakopusteliaujantiesiems,2015-2016,Kestucio g. 26      ,
22,Dadaistine Mona Liza XXI amžiuje,2016,Studentu g. 71      ,
23,Kauno paveikslu galerijos freska,2007,K. Donelaicio g. 16     ,
24,Oxymoron,2016,Radvilenu pl. 1B.      ,
25,Tikslo link,2015,Perkuno al. 3A.      ,
26,Kosmoso ežys,2014,V. Sladkeviciaus g. 8     ,
27,Princese ant žirgo,2015,Nemuno g. 30      ,
28,Dviratininkas su rože,2016,M. K. Ciurlionio g. 17 / Vytauto pr. 1,
29,Dialogas,2016,Taikos pr. 51      ,
30,Troba,2017,Putvinskio g. 36      ,
31,LRT 90-mecio neofreska,2016,S. Daukanto g. 28A     ,kiemas.
32,Kulturingas Perkunas,2016,K. Donelaicio g. 16     ,kiemas.
33,Pašto paslaugos,2015,Laisves al. 51A.      ,
34,Be pavadinimo,2016,Šv. Gertrudos g. 58     ,
35,Geležinkelio stotis,2013-2016,Pramones pr. 16      ,
36,Buvusi legali siena,2009-2013,Kestucio g. 72      ,
37,Buvusi legali siena,2009-2013,Karaliaus Mindaugo pr. 54     ,
38,Buvusi legali siena,2009-2013,M. K. Ciurlionio g. 6-8.    ,
39,Dabartine legali siena,2015-dabar,Karaliaus Mindaugo pr. 64     ,Nemuno krantine ties M. K. Ciurlionio tiltu.
